SMILES,pIC50
CC(C=C1)=CC=C1CN(CC2=CC=C(C3=CC=CC=C3)C=C2)N4C=NC=C4,5.658
ClC(C=C1)=CC=C1CN(CC2=CC=C(C3=CC=CC=C3)C=C2)N4C=NC=C4,5.928
FC(C=C1)=CC=C1CN(CC2=CC=C(C3=CC=CC=C3)C=C2)N4C=NC=C4,6.721
COC1=CC=CC=C1CN(CC2=CC=C(C3=CC=CC=C3)C=C2)N4C=NC=C4,5.821
COC(C=C1)=CC=C1CN(CC2=CC=C(C3=CC=CC=C3)C=C2)N4C=NC=C4,5.815
ClC(C=C1Cl)=CC=C1CN(CC2=CC=C(C3=CC=CC=C3)C=C2)N4C=NC=C4,5.438
FC(C=C1F)=CC=C1CN(CC2=CC=C(C3=CC=CC=C3)C=C2)N4C=NC=C4,6.456
ClC(C=C1Cl)=CC=C1CN(CC2=CC=C(C(C)(C)C)C=C2)N3C=NC=C3,5.818
CC(C)(C)C(C=C1)=CC=C1CN(CC2=CC=CS2)N3C=NC=C3,6.237
CC(C)(C)C(C=C1)=CC=C1CC(CC2=CC=C(C3=CC=CC=C3)C=C2)N4C=NC=C4,6.0
N1(C(CC2=CC=CC=C2)CC3=CC=C(C4=CC=CC=C4)C=C3) C=NC=C1,6.022
CC1=CC=CC=C1CC(CC2=CC=C(C3=CC=CC=C3)C=C2) N4C=NC=C4,5.983
ClC1=CC=CC=C1CC(CC2=CC=C(C3=CC=CC=C3) C=C2)N4C=NC=C4,5.963
FC1=CC=CC=C1CC(CC2=CC=C(C3=CC=CC=C3)C=C2)N4C=NC=C4,5.863
CC(C=C1)=CC=C1CC(CC2=CC=C(C3=CC=CC=C3)C=C2)N4C=NC=C4,5.879
FC(C=C1)=CC=C1CC(CC2=CC=C(C3=CC=CC=C3) C=C2)N4C=NC=C4,6.959
COC1=CC=CC=C1CC(CC2=CC=C(C3=CC=CC=C3) C=C2)N4C=NC=C4,6.292
COC(C=C1)=CC=C1CC(CC2=CC=C(C3=CC=CC=C3) C=C2)N4C=NC=C4,5.775
ClC(C=C1Cl)=CC=C1CC(CC2=CC=C(C3=CC=CC=C3)C=C2)N4C=NC=C4,5.907
FC(C=C1F)=CC=C1CC(CC2=CC=C(C3=CC=CC=C3)C=C2)N4C=NC=C4,6.585
N1(N(C/C=C/C2=CC=CC=C2)CC3=CC=CC4=C3 C=CC=C4)C=NC=N1,4.885
ClC1=CC(Cl)=CC=C1CN(C/C=C/C2=CC=CC=C2) N3C=NC=N3,4.766
CC(C)(C)C(C=C1)=CC=C1CN(C/C=C/C2=CC=CC=C2) N3C=NC=N3,5.296
CC(C)(C)C(C=C1)=CC=C1CN(CC2=CC=CS2)N3C=NC=N3,5.035
NC(C1=CC(OC)=CC=C12)=C(CC3=CC=NC=C3)C2=O,5.456
NC(C1=CC(OC)=C(OC)C=C12)=C(CC3=CC=NC=C3)C2=O,5.229
NC(C1=CC(OC)=C(OC)C(OC)=C12)=C(CC3=CC=NC=C3)C2=O,5.284
[H]/C1=C(\[H])C([H])=C3/C(=C1/[H])C(=C([H])C2=C([H])N=C([H])C([H])=C2[H])C([H])([H])C3([H])[H],5.69
[H]/C1=C(\[H])C([H])=C3/C(=C1/[H])C(=C([H])C2=C([H])C([H])=C([H])N=C2[H])C([H])([H])C3([H])[H],5.45
[H]/C1=C(\[H])C([H])=C3/C(=C1/[H])C(=C([H])C2=C([H])N=C([H])C([H])=C2[H])C([H])([H])C([H])([H])C3([H])[H],5.182
[H]/C1=C(\[H])C([H])=C3/C(=C1/[H])C(=C([H])C2=C([H])C([H])=C([H])N=C2[H])C([H])([H])C([H])([H])C3([H])[H],5.421
[F]/C1=C(\[H])C([H])=C2/C(=C1/[H])C([H])([H])C([H])([H])C2=C([H]) C3=C([H])N=C([H])C([H])=C3[H],5.595
[F]/C1=C(\[H])C([H])=C2/C(=C1/[H])C([H])([H])C([H])([H])C2=C([H]) C3=C([H])C([H])=C([H])N=C3[H],5.604
[Cl]/C1=C(\[H])C([H])=C2/C(=C1/[H])C([H])([H])C([H])([H])C2=C([H])C3=C([H])N=C([H])C([H])=C3[H],5.371
[Cl]/C1=C(\[H])C([H])=C2/C(=C1/[H])C([H])([H])C([H])([H])C2=C([H])C3=C([H])C([H])=C([H])N=C3[H],5.393
[Br]/C1=C(\[H])C([H])=C2/C(=C1/[H])C([H])([H])C([H])([H])C2=C([H]) C3=C([H])N=C([H])C([H])=C3[H],5.106
